08/25/2018 10:51:28 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:51:47 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:52:21 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:52:56 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:53:25 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:53:46 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:54:15 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:54:51 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:55:24 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 10:55:42 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
08/25/2018 11:20:53 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=2)
08/25/2018 11:21:13 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=2)
08/25/2018 11:22:06 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:22:29 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:22:56 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:23:25 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:24:08 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:24:41 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:25:02 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:25:34 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=1)
08/25/2018 11:25:34 AM Error has occured: CompletedProcess(args='python DeepThoughtMain.py', returncode=1)
08/25/2018 11:25:48 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/25/2018 11:26:08 AM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/27/2018 08:50:35 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/27/2018 08:50:48 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/27/2018 08:51:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
08/27/2018 08:51:31 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:11:57 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:00 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:03 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:05 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:09 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:15 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:20 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:22 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:26 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:29 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:32 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:50 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:12:56 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:04 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:08 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:11 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:21 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:24 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:31 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:35 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:37 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:41 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:52 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:13:57 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:06 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:20 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:23 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:33 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:38 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:42 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:44 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:52 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:55 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:14:57 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:03 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:07 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:11 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:15 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:22 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:25 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:30 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:33 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:41 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:46 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:48 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:52 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:15:56 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:04 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:09 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:15 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:20 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:23 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:30 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:37 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:42 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:48 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:53 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:16:55 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:00 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:05 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:08 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:16 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:19 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:23 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:32 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:38 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:41 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:44 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:52 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:17:58 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:02 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:05 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:09 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:14 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:19 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:22 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:26 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:30 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:53 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:18:58 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:05 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:09 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:15 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:19 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:24 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:30 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:32 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:50 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:19:59 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:03 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:05 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:15 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:19 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:23 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:25 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:29 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:31 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:38 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:41 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:55 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:20:59 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:04 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:07 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:20 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:25 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:31 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:35 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:40 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:21:56 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:00 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:04 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:14 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:24 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:30 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:35 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:38 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:48 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:22:58 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:02 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:06 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:09 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:13 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:17 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:21 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:24 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:33 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:44 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:48 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:52 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:23:59 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:03 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:08 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:15 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:21 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:23 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:31 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:37 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:40 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:42 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:53 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:24:57 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:06 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:09 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:11 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:14 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:16 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:21 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:24 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:26 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:29 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:33 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:37 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:40 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:55 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:25:58 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:06 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:14 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:18 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:22 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:25 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:31 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
