10/23/2018 09:04:09 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:12 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:15 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:18 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:22 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:27 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:43 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:48 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:51 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:56 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:04:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:01 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:03 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:05 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:08 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:09 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:12 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:14 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:15 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:17 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:19 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:20 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:23 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:27 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:43 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:50 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:54 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:57 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:05:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:00 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:02 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:06 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:08 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:11 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:13 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:16 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:17 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:18 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:20 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:23 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:26 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:28 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:36 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:39 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:40 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:42 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:43 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:50 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:53 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:56 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:06:59 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:02 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:06 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:07 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:10 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:13 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:14 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:17 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:19 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:07:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
